Gene stable ID	HGNC symbol
ENSG00000177239	MAN1B1
ENSG00000177463	NR2C2
ENSG00000178038	ALS2CL
ENSG00000178297	TMPRSS9
ENSG00000179299	NSUN7
ENSG00000179603	GRM8
ENSG00000180376	CCDC66
ENSG00000180644	PRF1
ENSG00000180909	OR52B1P
ENSG00000181143	MUC16
ENSG00000182329	
ENSG00000182521	TBPL2
ENSG00000183011	LSMD1
ENSG00000183873	SCN5A
ENSG00000185942	NKAIN3
ENSG00000186280	KDM4D
ENSG00000186976	EFCAB6
ENSG00000187258	NPSR1
ENSG00000187527	ATP13A5
ENSG00000187741	FANCA
ENSG00000187908	DMBT1
ENSG00000188107	EYS
ENSG00000188596	C12orf55
ENSG00000188655	RNASE9
ENSG00000188659	FAM154B
ENSG00000196159	FAT4
ENSG00000196387	ZNF140
ENSG00000196453	ZNF777
ENSG00000196531	NACA
ENSG00000196653	ZNF502
ENSG00000196743	GM2A
ENSG00000198965	OR10R2
ENSG00000204740	MALRD1
ENSG00000205108	FAM205A
ENSG00000205496	OR51A2
ENSG00000205517	RGL3
ENSG00000211688	TRGJP2
ENSG00000211689	TRGC1
ENSG00000213439	OR5AC1
ENSG00000214960	ISPD
ENSG00000218823	PAPOLB
ENSG00000224940	PRRT4
ENSG00000234602	MCIDAS
ENSG00000240654	C1QTNF9
ENSG00000244588	RAD21L1
ENSG00000248235	
ENSG00000251493	FOXD1
ENSG00000258986	TMEM179
ENSG00000259518	
ENSG00000260916	CCPG1
ENSG00000267908	ZSCAN5D
